legoPartId,bricklinkPartId
63791,11289
6465616,93160
6492250,53119
65122,3830
65155,6249
65412,23769
65441,4025
65446,48002a
65458,11476
65459,60476
65460,60475b
65514,30000
65673,15210
65738,98284
65886,30350b
66141,61678
66171,3070pb140
66894,3069pb0777
67047,3069pb0761
67173,25269
67258,64847
67412,1762
67692,22484
67835,3069pb0779
68495,68495pb03
69320,95198
69953,69953c01
7033,24599
7100,15429
7102,5466
7134,973pb5730c01
72132,87609
72140,48092
72154,30292
72206,72206pb01
72399,98138pb177
73081,3829c01
73200,970c00
73587,4592c02
73688,3069pb0856
73774,98138pb175
73777,3070pb174
73778,3070pb180
73779,3069pb0855
73780,3069pb0854
73786,98138pb182
73791,3069pb0851
73792,3069pb0990
73794,98138pb174
73809,98138pb183
73811,98138pb204
73819,3069pb1035
73873,3069pb0847
73893,3069pb0867
73903,3069pb0864
75184,34172
75216,88704
76382,973c000
77083,35654
77100,93160
78132,60115
79128,60592
79139,98138pb186
79566,17485
79805,53454
80058,98138pb261
80121,98138pb256
80441,80441pb01
81300,47458
82317,3069px7
83519,98138pb259
84075,98138pb264
84411,25269
84438,98138pb260
84554,98138pb070
88395,3005pb011
88397,3003pb026
88513,53451
91941,6064
92410,4532b
92538,3006
92569,87580
93888,3007
96858,2614
98461,98138pb284
98560,3684c
99217,98138pb265
101134,3069pb1062
103172,3069pb1170
105858,3069pb1206
105883,3069pb1207
107105,3069pb1264
106028,3069pb1265
109471,3069pb1254
107598,3069pb1278
81466,3069p02
37294,63864
73904,63864pb133
37096,2431pb499
73797,2431pb652
73823,2431pb725
75703,2431
103166,2431pb725
105911,2431pb873
75702,6636
106963,6636pb334
107554,6636pb352
19524,3068pb0929
23035,3068pb0674
72130,11203pb055
29716,3068pb1045
37475,3068pb1105
66586,3068pb1291
73765,3068bpb1655
78814,3068
100888,3068pb2011
102322,3068pb2031
103117,3068pb2263
105854,3068pb2339
107567,3068pb2459
107599,3068pb2475
109483,3068pb2476
49039,14769pb003
25414,14769pb086
27347,14769pb133
29629,14769pb160
37006,14769pb209
113420,14769pb264
113421,14769pb265
73806,14769pb356
79378,14769pb441
35339,22385
21605,15535pb01
64022,88492c00
28970,30170
6153,6153b
4973,30602
31509,87617
65080,65080pb02
33461,95225
28976,46304
97927,61482
1764,6140
28682,15745
98011,30381
66904,30395
5156,24204
23945,23945pb03
3091,88489
1887,6254
28652,6117
4687,95347
95270,60614
25866,93094pb01
28681,6124
38648,38648c01
35401,4346
54669,4518c
28814,93106
4307,3898
65695,93552
79811,98369
79806,4502a
25128,25128pb003
18754,93555
77024,2562
20695,20695pb01
19208,3626cpb1304
23952,3626cpb1420
90787,3626pb0471
99566,3626pb0628
9336,3626p01
77601,970c00pb0411
25859,970c00pb0160
65697,93551
78524,93551pb01
17833,10169
50391,20105
77989,69767c01
31922,10172
35334,2447
35194,13770
28655,3899
14918,3942c
6834,3942c
28701,4589b
59900,4589b
34076,12885
53913,x1435
33688,43898
27059,90541
49563,60470b
6970,64570
49422,98263
29169,30043
51483,44568
65553,47720
49131,15092
69038,30350bpb105
5584,3020
28969,2421
77099,92842
28836,25375
92756,30410
53019,93216
35248,2412b
5248,53834
17275,53401
42284,30293
42291,30294
15551,4589b
40240,x219
19745,85984pb077
3016,3297
18863,61409
28625,64867
49148,x577
18860,3062
17835,91884
65570,30261
35265,44661
35327,44375b
5034,13808
28922,18744
18745,90540
7255,90981
72375,73590c03a
72387,15301c01
28980,98549
3498,11609
28619,11609
16091,30663
28658,3957b
111933,x127c10pb01
14226,x127c10pb01
14210,x127c20pb01
14224,x127c40pb01
49128,4094
51489,4094
18612,53407
18596,53404
64865,2714b
49134,2397
54578,27263
92290,92289
77088,42876
5632,55976
24341,89201
5327,44309
40939,30248
19798,3940b
28840,32333
39889,64453
2594,x126
66118,30076
28924,19220
35286,59349
3354,29096
24314,24314pb01
28578,92851pb01
66199,2415
26716,2655
65630,65630pb01
105162,105162pb01
7257,88704
28829,6155
27058,62711
79812,98375
2683,65633
28670,2744
3347,94161
28698,6588
